Date (date),State Name (state_name),State Code (state_code),RTO Name (office_name),RTO Code (office_code),Norm Type (norm_type),Categorized By (category),Registrations (registrations),Region Type 
2021-08-01,Haryana,6,Charkhi Dadri,HR19,Bharat (Trem) Stage III A,Norm,144.0,Northcentral India
2023-10-01,Odisha,21,Cuttack Rto,OR5,Bharat Stage VI,Norm,8383.0,East India
2023-09-01,Chhattisgarh,22,Baloda Bazar Dto,CG22,Bharat (Trem) Stage IV,Norm,2.0,East India
2022-08-01,Uttar Pradesh,9,Sonbhadra,UP64,Bharat Stage IV (CEV),Norm,6.0,Northcentral India
2022-12-01,Haryana,6,Hathin,HR52,Bharat (Trem) Stage III A,Norm,29.0,Northcentral India
2020-03-01,Uttar Pradesh,9,Ballia,UP60,Bharat Stage IV/VI,Norm,51.0,Northcentral India
2019-10-01,Himachal Pradesh,2,Rla Kumarsain,HP95,Bharat Stage III (CEV),Norm,1.0,North India
2023-09-01,Kerala,32,Thrissur Rto,KL8,Bharat (Trem) Stage III A,Norm,1.0,South India
2023-09-01,Tamil Nadu,33,Ulundurpet Rto,TN577,Bharat (Trem) Stage IV,Norm,3.0,South India
2020-11-01,Rajasthan,8,Rajsamand Dto,RJ30,Bharat Stage VI,Norm,2819.0,Northcentral India
2024-03-01,Tamil Nadu,33,Sulur Uo,TN620,Bharat Stage IV (CEV),Norm,3.0,South India
2022-02-01,Andhra Pradesh,28,Bhimavaram Rta,AP137,Bharat Stage IV,Norm,1.0,South India
2020-03-01,Kerala,32,Kottayam Rto,KL5,Bharat Stage IV/VI,Norm,169.0,South India
2022-09-01,Punjab,3,Rto Sahibzada Ajit Singh Nagar,PB65,Not Available,Norm,12.0,North India
2024-05-01,Haryana,6,"Rta, Karnal",HR45,Bharat Stage VI,Norm,267.0,Northcentral India
2021-03-01,Madhya Pradesh,23,Alirajpur Dto,MP69,Bharat (Trem) Stage III A,Norm,1.0,Northcentral India
2019-09-01,Tamil Nadu,33,Tirunelveli Rto,TN72,Bharat (Trem) Stage III A,Norm,12.0,South India
2019-06-01,Kerala,32,Kottayam Rto,KL5,Bharat Stage IV,Norm,1362.0,South India
2022-11-01,Himachal Pradesh,2,Rla Kandaghat,HP13,Bharat Stage VI,Norm,40.0,North India
2019-07-01,Delhi,7,Loni Road,DL5,Bharat Stage IV,Norm,6160.0,Union Territory
2019-12-01,Uttar Pradesh,9,Raibareilly,UP33,Not Available,Norm,99.0,Northcentral India
2019-09-01,Chhattisgarh,22,Balod Dto,CG24,Bharat Stage IV,Norm,615.0,East India
2022-06-01,Karnataka,29,Bellary Rto,KA34,Bharat (Trem) Stage IV,Norm,1.0,South India
2023-07-01,Tamil Nadu,33,Vedachandur Uo,TN617,Not Available,Norm,4.0,South India
2021-02-01,Himachal Pradesh,2,Rto Kullu,HP66,Bharat Stage III (CEV),Norm,1.0,North India
2022-05-01,Uttar Pradesh,9,Mahoba,UP95,Bharat Stage IV (CEV),Norm,1.0,Northcentral India
2023-08-01,West Bengal,19,Ghatal Arto,WB50,Bharat Stage VI,Norm,751.0,East India
2022-11-01,Nagaland,13,Mokokchung Rto,NL2,Bharat Stage VI,Norm,54.0,Northeast India
2024-05-01,Himachal Pradesh,2,Rla Sangrah,HP79,Bharat Stage VI,Norm,24.0,North India
2020-12-01,Karnataka,29,Honnavar Arto,KA47,Bharat Stage IV,Norm,15.0,South India
2019-09-01,Haryana,6,Ballabgarh,HR29,Bharat (Trem) Stage III A,Norm,17.0,Northcentral India
2021-09-01,Uttar Pradesh,9,Agra Rto,UP80,Not Available,Norm,186.0,Northcentral India
2021-06-01,Karnataka,29,Tiptur Arto,KA44,Not Available,Norm,15.0,South India
2023-06-01,Andhra Pradesh,28,Macherla Mvi Office,AP407,Bharat Stage IV (CEV),Norm,1.0,South India
2021-11-01,Assam,18,Bongaigaon,AS19,Bharat (Trem) Stage III A,Norm,11.0,Northeast India
2020-10-01,Karnataka,29,Tiptur Arto,KA44,Bharat (Trem) Stage III A,Norm,65.0,South India
2019-12-01,Maharashtra,27,Thane,MH4,Bharat Stage IV,Norm,7744.0,West India
2019-10-01,Jharkhand,20,Lohardaga,JH8,Bharat (Trem) Stage III A,Norm,30.0,East India
2019-03-01,Nagaland,13,Kohima Rto,NL1,Not Available,Norm,1270.0,Northeast India
2022-12-01,Andhra Pradesh,28,Markapur Uo,AP327,Bharat (Trem) Stage III A,Norm,58.0,South India
2019-08-01,Maharashtra,27,Nandurbar,MH39,Bharat Stage IV,Norm,874.0,West India
2020-09-01,Karnataka,29,Jnanabharathi Rto,KA41,Bharat Stage III (CEV),Norm,6.0,South India
2024-04-01,Chhattisgarh,22,Dhamtari Dto,CG5,Bharat Stage VI,Norm,1295.0,East India
2023-12-01,Madhya Pradesh,23,Mandsaur Arto,MP14,Bharat Stage IV (CEV),Norm,1.0,Northcentral India
2021-04-01,Tamil Nadu,33,Thiruchendur Rto,TN606,Bharat Stage VI,Norm,770.0,South India
2019-08-01,Tamil Nadu,33,Chidambaram Rto,TN544,Not Available,Norm,3.0,South India
2019-05-01,Punjab,3,Barnala Sdm,PB19,Bharat (Trem) Stage III,Norm,1.0,North India
2021-09-01,Andhra Pradesh,28,Ravulapalem Uo,AP705,Not Available,Norm,20.0,South India
2023-08-01,Meghalaya,17,Resubelpara,ML13,Bharat Stage IV (CEV),Norm,16.0,Northeast India
2020-12-01,Himachal Pradesh,2,Rla Sarkaghat,HP28,Bharat Stage III (CEV),Norm,4.0,North India
2022-08-01,Rajasthan,8,Udaipur Rto,RJ27,Bharat Stage III (CEV),Norm,11.0,Northcentral India
2019-08-01,Gujarat,24,Porbandar,GJ25,Bharat Stage IV/VI,Norm,6.0,West India
2023-04-01,Tamil Nadu,33,Omalure Uo,TN535,Bharat (Trem) Stage III A,Norm,8.0,South India
2021-04-01,Jharkhand,20,Ranchi,JH1,Bharat Stage III (CEV),Norm,1.0,East India
2019-01-01,Chhattisgarh,22,Ambikapur Rto,CG15,Bharat Stage III (CEV),Norm,11.0,East India
2020-11-01,Andhra Pradesh,28,Ravulapalem Uo,AP705,Not Available,Norm,9.0,South India
2021-04-01,Tamil Nadu,33,Vellore Rto,TN23,Not Available,Norm,9.0,South India
2020-06-01,Madhya Pradesh,23,Balaghat Dto,MP50,Bharat Stage VI,Norm,850.0,Northcentral India
2020-03-01,Uttar Pradesh,9,Balrampur,UP47,Bharat (Trem) Stage III A,Norm,135.0,Northcentral India
2021-01-01,Odisha,21,Sonepur Rto,OR31,Bharat Stage III (CEV),Norm,19.0,East India
2019-12-01,Tamil Nadu,33,Namakkal (North) Rto,TN28,Bharat Stage VI,Norm,4.0,South India
2023-05-01,Maharashtra,27,Pune,MH12,Bharat Stage VI,Norm,18002.0,West India
2020-10-01,Uttar Pradesh,9,Sultanpur,UP44,Not Available,Norm,21.0,Northcentral India
2023-04-01,Punjab,3,Sdm Batala,PB18,Bharat (Trem) Stage III A,Norm,1.0,North India
2020-06-01,Madhya Pradesh,23,Dewas Dto,MP41,Bharat Stage IV,Norm,26.0,Northcentral India
